,Country,mm,bj,cp
0,Afghanistan,0.71,,13.6
1,Albania,0.031,8.7,60.1
2,Angola,0.65,,
3,Armenia,0.034,3.7,53.1
4,Azerbaijan,0.052,,
5,Bangladesh,0.33,,
6,Belize,0.077,,
7,Benin,0.43,,
8,Bolivia,0.24,,
9,Bosnia and Herzegovina,0.009,,
10,Burkina Faso,0.37,,
11,Burundi,0.91,,9.1
12,Cambodia,0.34,3.3,40.0
13,Cameroon,0.72,,
14,Chad,1.1,,
15,Colombia,0.1,,78.2
16,Comoros,0.31,,
17,Cote d'Ivoire,0.51,,
18,Dominican Republic,0.13,,
19,Egypt,0.078,33.5,59.2
20,Eritrea,0.3,,
21,Ethiopia,0.51,44.3,14.7
22,Gabon,0.26,,
23,Gambia,0.43,,
24,Georgia,0.061,1.3,47.3
25,Ghana,0.44,,
26,Guatemala,0.12,,
27,Guinea,0.8,61.7,9.1
28,Guinea-Bissau,0.89,,
29,Guyana,0.28,,34.6
30,Haiti,0.41,,
31,Honduras,0.13,,
32,India,0.28,,
33,Indonesia,0.27,,57.9
34,Kazakhstan,0.05,,
35,Kenya,0.45,,
36,Lesotho,0.72,,37.3
37,Liberia,1.1,,
38,Madagascar,0.31,,
39,Malawi,0.63,,
40,Maldives,0.094,,
41,Mali,0.62,,
42,Mongolia,0.084,5.5,66.0
43,Montenegro,0.009,,
44,Morocco,0.13,,
45,Mozambique,0.63,,
46,Myanmar,0.23,,
47,Namibia,0.31,,
48,Nepal,0.25,,
49,Nicaragua,0.11,,
50,Niger,0.72,,
51,Nigeria,0.82,,
52,Pakistan,0.31,,
53,Peru,0.09,,
54,Philippines,0.11,,49.3
55,Rwanda,0.55,13.9,17.4127
56,Sao Tome and Principe,0.087,,
57,Senegal,0.43,45.0,11.8
58,Serbia,0.01,,
59,Sierra Leone,1.0,63.3,5.3
60,Somalia,1.0,,
61,Tajikistan,0.079,47.9,37.9
62,Timor-Leste,0.41,,
63,Togo,0.37,,
64,Trinidad and Tobago,0.059,,
65,Turkey,0.028,,
66,Turkmenistan,0.076,,
67,Uganda,0.42,,19.7
68,Ukraine,0.025,0.9,65.6
69,Yemen,0.27,,
70,Zambia,0.5,,
71,Zimbabwe,0.69,,
